,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
edits_per_changeset_ratio_scaled,0.22452873939003937,-0.09515587507957976,0.009934155472282121,-0.26145807047159153,0.08884826199018638,0.30586173447311127,0.08123991243923243,-0.02172213903082054,0.009461449936219663,-0.14886546528146524,0.03757369818781936,0.034759577197231994,-0.009322413017519527,-0.06565460673230945,-0.15458323322017103,-0.07868703693500705,0.022482111987537853,-0.0683872627801087,0.01886563897900526,-0.05416156214126417,0.021813555608634978
changeset_duration_ratio_in_sec_scaled,-0.008160938093327333,0.1670710838580946,-0.08083621159676205,0.08744274144308725,-0.11433870804306176,0.44499085461084414,0.11640278258853877,-0.08223519039084858,-0.1475781179832415,0.052216094429544994,0.051699999401349866,-0.049523025063474634,-0.002694541931642233,-0.06810419170804835,-0.05909179758754262,0.11226783831356554,-0.192354181020438,0.049987904908450675,0.04000260047261872,0.032869470574778584,0.0006696006165290959
id_changeset_ratio_scaled,-0.0327902315615419,-0.24467275744446784,-0.042796421462244355,-0.11745284675111656,0.16534985703833094,-0.3223895505933818,-0.07340390657087131,0.060491337434234356,0.03604184841851093,-0.031735272175211854,-0.07244483596852708,0.15497938702300523,0.017560865868105846,0.13669517022973993,0.10777834279313402,-0.12595873496733379,0.14171786862842503,-0.11782012253867219,0.003531373227186983,-0.04344291369571062,0.005877024794005281
streetcomplete_changeset_ratio_scaled,0.00040068330181831083,0.10270900401743675,-0.058897216359116204,0.41839417862794015,0.17279584933697711,0.18196707049616254,0.09137649040473539,0.15650323102776745,-0.015130643257305149,-0.03474824296143749,-0.15476537259210219,-0.011895581505977032,-0.015978637270612713,-0.031548967628705224,-0.18658651994898925,-0.061635760953961755,-0.02822263976327977,-0.03888084273152846,-0.137530409560138,0.10749533486907774,-0.15201017708339146
other_id_changeset_ratio_scaled,-0.07128184918818353,0.2092223565727687,0.08664485510212361,-0.09950338694195167,-0.2958704937603578,0.2587431245075758,0.00570742097395252,-0.18027201157754952,-0.07580345742527929,0.06618226426681166,0.10877748581047327,-0.12775553657540872,-0.008855784162968755,-0.09112738729643444,0.0455905301501516,0.1781094118966746,-0.1534308695630302,0.13678698517323354,0.08197914681667892,-0.08941991663981373,0.09244725172091023
comment_length_ratio_scaled,0.010333700642707075,-0.18723902572041087,0.1584396212212049,0.0272760258132109,0.05710570241060028,-0.056546907256848224,0.07181913881842733,0.12790723808627646,-0.07478234643494822,-0.17843673574727786,0.12744720352637023,0.11350247861144151,0.03763107873263284,-0.10734406675210793,-0.2783648906753893,-0.08579369099522982,0.17686433638693683,0.7599419405622182,-0.1966413783573595,0.04993167667444424,-0.08655549465770931
avg_days_valid_per_edit_scaled,-0.061703281632634055,0.16898390451260303,0.013031788507041175,-0.18182994041244352,-0.004307112794504884,-0.030709337916185197,0.03613291465117939,-0.06434999343904252,-0.07459193702869417,0.40105591293210374,0.011889055582881435,-0.25056387888095477,0.010856328496251618,-0.15718210664037516,-0.031823236656947584,-0.20759514219039973,0.3420161003271945,0.047770652486619644,0.015931545693302296,0.5817098208475433,0.1739570261662
active_weeks_scaled,0.2797453098828641,0.1694419158487941,-0.014895984075120581,0.07452863835032424,-0.0638480920856315,-0.14892738465774527,0.08990298013608466,0.01895074169149189,0.20594526268733823,0.01873529465384467,0.00936568237013835,-0.02093811097370939,0.0818358529202989,-0.059015296407024354,0.09534282850320143,0.039283802044124495,0.027729292247387974,0.09216579218812451,0.011088099439028576,0.014778596689632382,0.03728828892841129
days_to_50_scaled,-0.22746455940761254,0.037958349669225205,-0.03396764807514514,0.07681557771399213,-0.10301297365837447,-0.15687583283748543,0.15977723342525416,0.003091028921969802,0.20905539681343122,0.04074364866433071,0.18449806677007774,0.023670904081775496,0.2405323523993877,-0.17970731460319161,-0.03320362227257501,0.0737384541261709,-0.12597676313510411,0.06267018337523375,0.14258445525351296,-0.2180537019381945,-0.03917176028601708
frontload_ratio_scaled,-0.1932955740806436,-0.09662063899711483,-0.013954832677009988,-0.02995871117450932,0.09356400654284293,0.05506735668857252,0.3312751806242075,-0.08512965422709878,0.1985198371084524,-0.1793897431140922,-0.20815130793512548,-0.3284977119012985,-0.19439673904345875,0.18712950262884137,0.18325587011358288,0.06674606191202194,0.05878121931917535,0.13484472226607583,0.05166751659839253,0.04795648198135043,0.04073534282955059
early_days_ratio_scaled,-0.204025642265608,-0.11998359693271879,-0.009305530242282303,-0.03495443555806251,0.08650773250128672,0.052826521307629715,0.3481399412768641,-0.08245623750008244,0.20430642487737102,-0.1744211072609723,-0.1553059401210643,-0.2969418388036916,-0.13456822889382034,0.1347380087069833,0.1540509214190079,0.05798945235959892,0.03814240358423437,0.10869842998634546,0.05037591801997647,0.02355673585619701,0.02786231309024472
activity_density_scaled,0.2215133727486247,0.06678350770504768,0.028628857478164137,0.07192938100734585,-0.056268538548293674,-0.13075517561074487,-0.03456632965442626,0.06465276904572315,-0.0471312874732712,-0.2639501475315036,0.20271059982766468,-0.3437710874675898,0.35364611314245226,-0.046253404923695646,0.10515541930307865,-0.0015458364262599293,-0.002129588246364186,-0.01717013188741359,-0.0014576894035884457,0.10527673348541634,0.04238555654846679
